customer_id,age,gender,location,annual_income,churned
1,39,Male,Los Angeles,30000.0,0
2,33,Male,Chicago,62066.28861388449,0
3,41,Male,Los Angeles,57157.16345718603,0
4,50,Male,Austin,76523.04142016762,0
5,32,Male,Chicago,101155.65635851564,0
6,32,Female,Chicago,108782.02997253375,0
7,50,Female,Los Angeles,76173.69215630864,0
8,42,Female,Los Angeles,31207.907213898055,0
9,30,Male,Houston,57145.334841470074,0
10,40,Male,Seattle,59886.24687643684,0
11,30,Male,Houston,79180.38564505335,0
12,30,Other,Chicago,71406.16350401076,0
13,37,Female,Houston,52792.54680409179,0
14,18,Female,Chicago,38708.78895208827,0
15,18,Male,New York,48285.577508922695,0
16,29,Female,Chicago,47366.32791086167,0
17,24,Male,Chicago,110539.42483840155,0
18,38,Female,Houston,50758.53484233432,0
19,25,Female,Seattle,71503.40139290644,0
20,20,Other,New York,94211.03520868986,0
21,49,Female,Miami,74872.4571608163,0
22,32,Male,Miami,42849.93397636917,0
23,35,Female,Seattle,94627.12569498217,0
24,20,Female,Miami,78854.6779925843,0
25,29,Male,New York,30000.0,0
26,36,Male,Los Angeles,101143.035899857,0
27,23,Male,New York,91834.4925775838,0
28,38,Male,Houston,78462.51216075622,0
29,28,Male,Austin,110869.0871423886,0
30,32,Female,Chicago,91261.69258781397,0
31,28,Male,Chicago,98198.54521932192,0
32,53,Male,Houston,95910.03976796329,0
33,34,Female,Houston,88926.0997686004,0
34,24,Female,Austin,30000.0,0
35,43,Female,Austin,30000.0,0
36,22,Male,Chicago,91271.01207107169,0
37,37,Female,Austin,100791.26847687825,0
38,18,Female,Austin,52370.66506078953,0
39,21,Male,Austin,42155.928905849694,0
40,36,Male,Seattle,76566.25341983787,0
41,42,Female,Los Angeles,33698.631076934435,0
42,36,Female,Austin,65777.55389690441,0
43,33,Other,Los Angeles,61122.33816211831,0
44,31,Female,Los Angeles,64388.582424960696,0
45,20,Female,Houston,117110.7754476325,0
46,27,Female,Austin,54150.21353848167,0
47,30,Male,Chicago,71335.21734862772,0
48,45,Male,Seattle,37196.09495576901,0
49,38,Male,Chicago,93509.35092289466,0
50,18,Female,Austin,65510.36189732713,0
51,38,Female,Chicago,99457.70613194413,0
52,31,Female,Austin,30000.0,0
53,28,Male,Seattle,68546.72546745696,0
54,41,Female,New York,73303.18839141437,0
55,45,Male,Seattle,92788.0819476373,0
56,44,Male,New York,53950.03036921758,0
57,26,Female,Miami,89670.62035977899,0
58,31,Female,New York,56814.1121367851,0
59,38,Other,Los Angeles,72343.9294726047,0
60,44,Male,Los Angeles,93048.7889313744,0
61,30,Female,Seattle,46755.762016836,0
62,33,Male,Los Angeles,88514.6167682723,0
63,23,Male,Los Angeles,78372.56429965059,0
64,23,Female,Miami,61658.14672565159,0
65,43,Female,Los Angeles,53294.83511576722,0
66,48,Female,Houston,30000.0,1
67,34,Male,Houston,67993.35109102627,0
68,45,Female,Houston,61699.95819164337,0
69,38,Male,New York,85978.29396713954,1
70,28,Female,Seattle,83449.94915122502,0
71,38,Male,Seattle,96752.9326090351,0
72,50,Male,Chicago,97668.2321004851,0
73,34,Female,Miami,148888.44693464082,0
74,50,Female,Houston,82841.4992217696,0
75,18,Male,Houston,48488.23526478639,0
76,43,Male,Los Angeles,90654.82472975699,0
77,35,Female,Houston,110147.60141345701,0
78,32,Male,Los Angeles,81872.43310955979,0
79,35,Male,Los Angeles,30000.0,1
80,18,Male,Chicago,83884.00510007357,0
81,32,Male,New York,54253.20381821207,0
82,38,Female,Los Angeles,36951.85299801319,0
83,49,Female,Los Angeles,74667.1693326024,0
84,29,Female,Seattle,31854.625434605266,1
85,26,Other,Chicago,95578.6776073914,0
86,29,Male,Los Angeles,88271.97918581188,0
87,44,Male,Miami,67833.27649377217,1
88,38,Male,New York,56248.04419481016,0
89,29,Male,Miami,65397.5178069063,0
90,40,Male,Houston,44727.1188099463,0
91,35,Female,New York,68073.89269798077,0
92,44,Female,Houston,30000.0,1
93,27,Male,Seattle,72217.74908567175,0
94,31,Female,Austin,72855.49853972306,0
95,31,Female,Austin,91128.74170226854,0
96,20,Female,Austin,77495.28939983553,0
97,37,Female,Los Angeles,94433.36904678747,0
98,37,Female,Chicago,83675.7777263098,0
99,35,Female,Miami,95913.10676015308,0
100,32,Female,Houston,135535.6265998138,0
101,20,Female,Los Angeles,80500.42854870923,0
102,30,Male,Austin,74600.60361918407,0
103,31,Male,Miami,99676.22303170388,0
104,26,Female,Miami,58294.21243074094,0
105,33,Male,Seattle,67020.30585086456,0
106,39,Male,Seattle,80524.86545696424,0
107,53,Female,Austin,71810.37594321261,0
108,36,Male,Houston,71697.8360200222,0
109,37,Female,Austin,92494.48008315782,0
110,34,Female,Austin,30000.0,0
111,18,Other,Los Angeles,120836.47696180595,0
112,34,Female,Chicago,82147.50044961403,0
113,35,Male,Austin,59993.466754643574,0
114,59,Female,Houston,110701.32270871973,0
